Query,Expected Article (URL),Match Found,Rank (if found),Top Results (URLs),Top Result Titles
can I display results in PowerBI,https://help.surveymonkey.com/en/surveymonkey/integrations/microsoft-power-bi-integration/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/integrations/microsoft-power-bi-integration/; https://help.surveymonkey.com/en/surveymonkey/analyze/ppt-exports/; https://help.surveymonkey.com/en/surveymonkey/analyze/sharing-survey-results/; https://help.surveymonkey.com/en/surveymonkey/analyze/multi-survey-analysis/; https://help.surveymonkey.com/en/getfeedback/insights/email-reports-dashboards/; https://help.surveymonkey.com/en/surveymonkey/analyze/data-trends/; https://help.surveymonkey.com/en/surveymonkey/analyze/analyzing-results/; https://help.surveymonkey.com/en/surveymonkey/manage/merging-surveys/; https://help.surveymonkey.com/en/surveymonkey/analyze/crosstabs/; https://help.surveymonkey.com/en/surveymonkey/analyze/shared-data-pages/,Microsoft Power BI Integration; PPT (PowerPoint) Exports; Sharing Survey Results; Analyze Multiple Surveys Together; Email Summary Reports and Dashboards; Insights and Data Trends; How to Analyze Results; Can I merge surveys or survey results?; Crosstab Reports; Shared Data Pages
can I exclude respondents that skipped questions,https://help.surveymonkey.com/en/surveymonkey/analyze/skipped-questions/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/analyze/skipped-questions/; https://help.surveymonkey.com/en/surveymonkey/analyze/respondents-skipping-questions/; https://help.surveymonkey.com/en/surveymonkey/create/disqualifying-respondents/; https://help.surveymonkey.com/en/surveymonkey/create/question-skip-logic/; https://help.surveymonkey.com/en/surveymonkey/create/skip-logic/; https://help.surveymonkey.com/en/surveymonkey/create/troubleshooting-skip-logic/; https://help.surveymonkey.com/en/surveymonkey/solutions/audience-additional-settings/; https://help.surveymonkey.com/en/surveymonkey/create/page-skip-logic/; https://help.surveymonkey.com/en/surveymonkey/analyze/combining-hiding-answer-choices/; https://help.surveymonkey.com/en/surveymonkey/create/limiting-answer-choices-2/,Excluding Respondents who Skipped Questions; Respondents Skipped Required Questions; Disqualifying Respondents; Question Skip Logic; Skip Logic; Troubleshooting Skip Logic Issues; SurveyMonkey Audience: Additional Targeting Settings; Page Skip Logic; Combining or Hiding Answer Choices; Can I limit the number of answer choices a respondent can select?
can I embed a survey on my website,https://help.surveymonkey.com/en/surveymonkey/send/website-collector/,False,,https://help.surveymonkey.com/en/getfeedback/channels/email-embed/; https://help.surveymonkey.com/en/surveymonkey/integrations/embedding-wufoo-forms/; https://help.surveymonkey.com/en/getfeedback/channels/web-overlay/; https://help.surveymonkey.com/en/getfeedback/channels/web-widgets/; https://help.surveymonkey.com/en/surveymonkey/send/embedding-questions/; https://help.surveymonkey.com/en/getfeedback/salesforce/salesforce-embed-csat-survey-signature/; https://help.surveymonkey.com/en/surveymonkey/create/adding-rewards/; https://help.surveymonkey.com/en/getfeedback/builder/web-theme/; https://help.surveymonkey.com/en/getfeedback/zendesk/zendesk-embed-email-replies/; https://help.surveymonkey.com/en/surveymonkey/create/adding-hyperlinks/,One-touch Surveys; Embedding a Wufoo Form in a Survey; Web Overlay Surveys (Modals); In-Page Widgets; Embedding Questions in Email Invitations; Embedding Surveys in Salesforce Email Signatures; Can I add a reward to my survey?; Survey Theme: Website; Embedding Web Surveys in Zendesk Email Replies (app.usabilla.com); Adding a Hyperlink
how to change question font size,https://help.surveymonkey.com/en/surveymonkey/create/question-size-layout/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/create/question-size-layout/; https://help.surveymonkey.com/en/surveymonkey/create/formatting-text/; https://help.surveymonkey.com/en/wufoo/themes/form-fonts/; https://help.surveymonkey.com/en/surveymonkey/teams/custom-css/; https://help.surveymonkey.com/en/wufoo/build/field-size/; https://help.surveymonkey.com/en/apply/build/ranking-question/; https://help.surveymonkey.com/en/surveymonkey/create/editing-questions/; https://help.surveymonkey.com/en/apply/build/text-response/; https://help.surveymonkey.com/en/apply/build/rating-scale-question/; https://help.surveymonkey.com/en/apply/build/text-validation/,Changing the Question Size and Layout; Formatting Text; Changing the Font on Your Form; Use CSS to Style Your Survey; Adjusting Field Sizes; Ranking Question; Adding and Editing Questions; Text Response Question; Rating Scale Question; How to Add Validation to a Text Response Question
export results by question,https://help.surveymonkey.com/en/surveymonkey/analyze/exporting-individual-questions/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/analyze/exporting-individual-questions/; https://help.surveymonkey.com/en/surveymonkey/analyze/spss-exports/; https://help.surveymonkey.com/en/surveymonkey/analyze/export-examples/; https://help.surveymonkey.com/en/surveymonkey/analyze/csv-exports/; https://help.surveymonkey.com/en/surveymonkey/analyze/xls-exports/; https://help.surveymonkey.com/en/surveymonkey/analyze/troubleshooting-exports/; https://help.surveymonkey.com/en/surveymonkey/analyze/finding-exports/; https://help.surveymonkey.com/en/surveymonkey/analyze/ppt-exports/; https://help.surveymonkey.com/en/surveymonkey/analyze/analyzing-results/; https://help.surveymonkey.com/en/surveymonkey/analyze/out-of-order-responses/,Exporting an Individual Question; SPSS Exports; Export Examples; CSV Exports; XLS (Excel) Exports; Troubleshooting Exports; Where do my exports go after I download them?; PPT (PowerPoint) Exports; How to Analyze Results; Responses Are Out of Order
how do I view individual responses,https://help.surveymonkey.com/en/surveymonkey/analyze/individual-responses/,True,2.0,https://help.surveymonkey.com/en/surveymonkey/analyze/viewing-comments/; https://help.surveymonkey.com/en/surveymonkey/analyze/individual-responses/; https://help.surveymonkey.com/en/getfeedback/insights/responses-explorer/; https://help.surveymonkey.com/en/surveymonkey/analyze/analyzing-results/; https://help.surveymonkey.com/en/surveymonkey/analyze/response-statuses/; https://help.surveymonkey.com/en/surveymonkey/analyze/out-of-order-responses/; https://help.surveymonkey.com/en/surveymonkey/analyze/response-ids/; https://help.surveymonkey.com/en/surveymonkey/manage/deleting-responses/; https://help.surveymonkey.com/en/surveymonkey/send/editing-survey-responses/; https://help.surveymonkey.com/en/surveymonkey/analyze/missing-survey-responses/,Viewing a Specific Comment in the Analysis; Viewing Individual Responses; Responses Explorer; How to Analyze Results; Survey Response Statuses; Responses Are Out of Order; Does each respondent get assigned a response ID?; Clearing or Deleting Responses; Editing Survey Responses; Missing Survey Responses
filter responses by custom variable,https://help.surveymonkey.com/en/surveymonkey/analyze/filter-rules/,True,9.0,https://help.surveymonkey.com/en/getfeedback/builder/custom-variables/; https://help.surveymonkey.com/en/surveymonkey/send/custom-variables/; https://help.surveymonkey.com/en/getfeedback/insights/workspaces-metadata-filter/; https://help.surveymonkey.com/en/getfeedback/insights/filter-results/; https://help.surveymonkey.com/en/getfeedback/insights/workspaces-choice-filter/; https://help.surveymonkey.com/en/getfeedback/insights/workspaces-score-filter/; https://help.surveymonkey.com/en/getfeedback/insights/viewing-responses/; https://help.surveymonkey.com/en/surveymonkey/analyze/individual-responses/; https://help.surveymonkey.com/en/surveymonkey/analyze/filter-rules/; https://help.surveymonkey.com/en/surveymonkey/analyze/filtering-open-ended-comments/,Custom Variables; Custom Variables; Filtering by Metadata in Workspaces; Filtering Your Results; Filtering by Choice Questions in Workspaces; Filtering by Score Questions in Workspaces; Viewing and Managing Responses; Viewing Individual Responses; Filtering Survey Results; Filtering by Open-Ended Comments or Text
how to switch from monthly to yearly billing,https://help.surveymonkey.com/en/surveymonkey/billing/monthly-payment-option/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/billing/monthly-payment-option/; https://help.surveymonkey.com/en/surveymonkey/billing/invoice-billing/; https://help.surveymonkey.com/en/surveymonkey/billing/auto-renew/; https://help.surveymonkey.com/en/wufoo/account/billing-info/; https://help.surveymonkey.com/en/surveymonkey/billing/billing-currency/; https://help.surveymonkey.com/en/surveymonkey/billing/automatic-renewals/; https://help.surveymonkey.com/en/surveymonkey/billing/upgrading/; https://help.surveymonkey.com/en/getfeedback/account/changing-your-plan/; https://help.surveymonkey.com/en/wufoo/account/your-new-plan/; https://help.surveymonkey.com/en/wufoo/account/upgrade-your-plan/,Monthly Payment Option; How to Pay by Invoice; Auto-Renew; Your Billing Information; Billing Currency; Why was I charged again?; How to Sign Up or Upgrade; Changing your Plan; Your New Wufoo Plan; How to Sign Up or Upgrade
can I copy questions from one survey to another,https://help.surveymonkey.com/en/surveymonkey/manage/copying-surveys/,False,,https://help.surveymonkey.com/en/surveymonkey/create/copying-moving-questions/; https://help.surveymonkey.com/en/surveymonkey/manage/sending-survey-copies/; https://help.surveymonkey.com/en/surveymonkey/manage/merging-surveys/; https://help.surveymonkey.com/en/surveymonkey/create/bulk-answer-choices/; https://help.surveymonkey.com/en/surveymonkey/send/saving-surveys/; https://help.surveymonkey.com/en/surveymonkey/create/answering-multiple-times/; https://help.surveymonkey.com/en/surveymonkey/create/importing-surveys/; https://help.surveymonkey.com/en/surveymonkey/manage/transferring-surveys/; https://help.surveymonkey.com/en/surveymonkey/send/allowing-multiple-responses/; https://help.surveymonkey.com/en/surveymonkey/create/editing-questions/,Copying or Moving Questions; Sending a Copy of a Survey to Another Account; Can I merge surveys or survey results?; Adding Answer Choices in Bulk; Can a survey be saved and finished later?; Can a respondent fill out the same question or page multiple times?; Can I upload or import a survey?; Transferring Surveys to Another Account; Allowing Multiple Responses; Adding and Editing Questions
can I integrate SurveyMonkey with Mailchimp,https://help.surveymonkey.com/en/surveymonkey/integrations/mailchimp-integration/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/integrations/mailchimp-integration/; https://help.surveymonkey.com/en/surveymonkey/integrations/zapier/; https://help.surveymonkey.com/en/surveymonkey/integrations/zendesk-integration/; https://help.surveymonkey.com/en/apply/advanced/salesforce-integration/; https://help.surveymonkey.com/en/surveymonkey/create/importing-surveys/; https://help.surveymonkey.com/en/surveymonkey/integrations/surveymonkey-api/; https://help.surveymonkey.com/en/surveymonkey/integrations/marketo-integration/; https://help.surveymonkey.com/en/surveymonkey/integrations/surveymonkey-salesforce-app/; https://help.surveymonkey.com/en/surveymonkey/integrations/microsoft-teams-integration/; https://help.surveymonkey.com/en/surveymonkey/integrations/hootsuite-integration/,Sending Surveys via Mailchimp; Using Zapier with SurveyMonkey; Zendesk Integration; How to Add a Salesforce Integration; Can I upload or import a survey?; SurveyMonkey API; Marketo Integration; Using SurveyMonkey for Salesforce; Microsoft Teams Integration; HootSuite Integration
can I edit my survey after publishing,https://help.surveymonkey.com/en/surveymonkey/manage/editing-live-surveys/,False,,https://help.surveymonkey.com/en/surveymonkey/send/saving-surveys/; https://help.surveymonkey.com/en/surveymonkey/send/editing-survey-responses/; https://help.surveymonkey.com/en/surveymonkey/send/answers-already-selected/; https://help.surveymonkey.com/en/surveymonkey/create/editing-questions/; https://help.surveymonkey.com/en/surveymonkey/create/survey-title/; https://help.surveymonkey.com/en/surveymonkey/create/previewing-testing/; https://help.surveymonkey.com/en/surveymonkey/manage/managing-surveys/; https://help.surveymonkey.com/en/getfeedback/builder/preview-draft-mode/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/surveymonkey/manage/survey-deletion/,"Can a survey be saved and finished later?; Editing Survey Responses; Why are answers already selected when I try to take a survey?; Adding and Editing Questions; Changing the Survey Title; Previewing, Testing, and Reviewing Surveys; Managing Your Surveys; Preview and Draft Mode; Survey Takers Can’t Complete My Survey; Deleting a Survey"
stop collecting responses after 100 people,https://help.surveymonkey.com/en/surveymonkey/send/limiting-answer-choices/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/send/limiting-answer-choices/; https://help.surveymonkey.com/en/surveymonkey/send/allowing-multiple-responses/; https://help.surveymonkey.com/en/surveymonkey/manage/deleting-responses/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/surveymonkey/analyze/individual-responses/; https://help.surveymonkey.com/en/surveymonkey/solutions/calculating-respondents/; https://help.surveymonkey.com/en/surveymonkey/solutions/response-rate/; https://help.surveymonkey.com/en/surveymonkey/create/answering-multiple-times/; https://help.surveymonkey.com/en/surveymonkey/billing/response-limits/; https://help.surveymonkey.com/en/surveymonkey/getting-started/sending-your-survey/,Limiting Responses to a Survey; Allowing Multiple Responses; Clearing or Deleting Responses; Survey Takers Can’t Complete My Survey; Viewing Individual Responses; Calculating the Number of Respondents You Need; Response Rate; Can a respondent fill out the same question or page multiple times?; Account Response Limits; Ways to Send Your Survey
how to insert custom branding,https://help.surveymonkey.com/en/surveymonkey/create/survey-branding/,True,2.0,https://help.surveymonkey.com/en/getfeedback/builder/branding-surveys/; https://help.surveymonkey.com/en/surveymonkey/create/survey-branding/; https://help.surveymonkey.com/en/surveymonkey/create/adding-logos/; https://help.surveymonkey.com/en/apply/features/custom-url/; https://help.surveymonkey.com/en/getfeedback/builder/custom-survey-links/; https://help.surveymonkey.com/en/surveymonkey/teams/custom-css/; https://help.surveymonkey.com/en/getfeedback/builder/custom-forms/; https://help.surveymonkey.com/en/surveymonkey/teams/custom-sender-name/; https://help.surveymonkey.com/en/surveymonkey/send/custom-thank-you/; https://help.surveymonkey.com/en/surveymonkey/create/surveymonkey-footer/,Whitelabeling & Branding Your Surveys; Branding Your Survey; Adding or Editing a Logo to Your Survey Design; How to Apply a Custom (Vanity) URL; Custom Survey Links and Domains; Use CSS to Style Your Survey; Custom Forms; Custom Sender Name and Email Domain; Adding a Custom Thank You; Changing the SurveyMonkey Footer
download survey results as PDF,https://help.surveymonkey.com/en/surveymonkey/analyze/pdf-exports/,False,,https://help.surveymonkey.com/en/surveymonkey/manage/printing-survey-pdfs/; https://help.surveymonkey.com/en/surveymonkey/analyze/export-examples/; https://help.surveymonkey.com/en/surveymonkey/analyze/exports-wont-open/; https://help.surveymonkey.com/en/surveymonkey/analyze/sharing-survey-results/; https://help.surveymonkey.com/en/surveymonkey/send/printing-responses/; https://help.surveymonkey.com/en/surveymonkey/analyze/csv-exports/; https://help.surveymonkey.com/en/surveymonkey/analyze/troubleshooting-exports/; https://help.surveymonkey.com/en/surveymonkey/analyze/finding-exports/; https://help.surveymonkey.com/en/surveymonkey/analyze/xls-exports/; https://help.surveymonkey.com/en/surveymonkey/analyze/spss-exports/,Printing a PDF of a Survey; Export Examples; Export Won’t Download or Open; Sharing Survey Results; Can respondents print their responses?; CSV Exports; Troubleshooting Exports; Where do my exports go after I download them?; XLS (Excel) Exports; SPSS Exports
how to use survey logic,https://help.surveymonkey.com/en/surveymonkey/create/logic-options/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/create/logic-options/; https://help.surveymonkey.com/en/surveymonkey/create/question-skip-logic/; https://help.surveymonkey.com/en/surveymonkey/create/skip-logic/; https://help.surveymonkey.com/en/surveymonkey/create/troubleshooting-skip-logic/; https://help.surveymonkey.com/en/getfeedback/builder/merge-fields-logic/; https://help.surveymonkey.com/en/surveymonkey/create/page-skip-logic/; https://help.surveymonkey.com/en/getfeedback/builder/conditional-logic/; https://help.surveymonkey.com/en/surveymonkey/site/system-messages/; https://help.surveymonkey.com/en/surveymonkey/create/disqualifying-respondents/; https://help.surveymonkey.com/en/surveymonkey/create/advanced-branching/,Logic Features; Question Skip Logic; Skip Logic; Troubleshooting Skip Logic Issues; Using Merge Fields in Survey Logic; Page Skip Logic; Conditional Logic; Survey Design System Messages; Disqualifying Respondents; Advanced Branching
automatically redirect after completing survey,https://help.surveymonkey.com/en/surveymonkey/create/survey-end-page/,True,4.0,https://help.surveymonkey.com/en/getfeedback/programs/kiosk-surveys/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/surveymonkey/send/custom-thank-you/; https://help.surveymonkey.com/en/surveymonkey/create/survey-end-page/; https://help.surveymonkey.com/en/surveymonkey/send/saving-surveys/; https://help.surveymonkey.com/en/getfeedback/programs/feedback-when-leaving-site/; https://help.surveymonkey.com/en/surveymonkey/create/navigation-buttons/; https://help.surveymonkey.com/en/surveymonkey/send/broken-survey-link/; https://help.surveymonkey.com/en/surveymonkey/send/response-recording/; https://help.surveymonkey.com/en/surveymonkey/create/adding-rewards/,Kiosk Surveys; Survey Takers Can’t Complete My Survey; Adding a Custom Thank You; Survey End Page; Can a survey be saved and finished later?; Get Feedback When Respondents Leave a Site; Navigation Buttons; Survey Link Doesn’t Work; How do I know my responses were recorded?; Can I add a reward to my survey?
how do I create a survey template,https://help.surveymonkey.com/en/surveymonkey/create/using-templates/,False,,https://help.surveymonkey.com/en/getfeedback/builder/saving-survey-templates/; https://help.surveymonkey.com/en/surveymonkey/create/available-benchmarks/; https://help.surveymonkey.com/en/surveymonkey/create/survey-branding/; https://help.surveymonkey.com/en/getfeedback/channels/email-embed/; https://help.surveymonkey.com/en/getfeedback/salesforce/salesforce-visualforce-email-templates/; https://help.surveymonkey.com/en/surveymonkey/create/return-to-work/; https://help.surveymonkey.com/en/getfeedback/salesforce/salesforce-embed-csat-survey-signature/; https://help.surveymonkey.com/en/getfeedback/builder/survey-builder/; https://help.surveymonkey.com/en/surveymonkey/create/forms/; https://help.surveymonkey.com/en/surveymonkey/send/composing-email-invitations/,Saving Surveys as Templates; Benchmarkable Questions & Templates; Branding Your Survey; One-touch Surveys; Salesforce Visualforce Email Templates; Return to Work Solutions; Embedding Surveys in Salesforce Email Signatures; Survey Builder; Getting Started with Forms; Composing Email Invitations
how to cancel a team member’s access,https://help.surveymonkey.com/en/surveymonkey/teams/access-levels/,False,,https://help.surveymonkey.com/en/surveymonkey/teams/manage-enterprise/; https://help.surveymonkey.com/en/apply/monitor/manage-reviewers/; https://help.surveymonkey.com/en/surveymonkey/teams/team-roles-permissions/; https://help.surveymonkey.com/en/surveymonkey/teams/manage-your-teams-surveys/; https://help.surveymonkey.com/en/surveymonkey/getting-started/manage-seats/; https://help.surveymonkey.com/en/surveymonkey/teams/scim/; https://help.surveymonkey.com/en/getfeedback/account/insights-team-permissions/; https://help.surveymonkey.com/en/surveymonkey/billing/team-billing/; https://help.surveymonkey.com/en/surveymonkey/teams/team-discovery/; https://help.surveymonkey.com/en/wufoo/account/cancelation-policy/,"Managing Seats on Your Enterprise Team; How to Manage Reviewer Team Members; Team Seats, Roles, and Permissions; Manage Your Team’s Surveys; Managing Seats on Your Team; Manage Accounts with SCIM; Managing Permissions in Insights; Team Billing; Discover Teams at Your Company; Canceling Your Account"
do responses auto-save,https://help.surveymonkey.com/en/surveymonkey/send/response-recording/,True,4.0,https://help.surveymonkey.com/en/surveymonkey/send/editing-survey-responses/; https://help.surveymonkey.com/en/surveymonkey/send/saving-surveys/; https://help.surveymonkey.com/en/surveymonkey/integrations/slack-automation/; https://help.surveymonkey.com/en/surveymonkey/send/response-recording/; https://help.surveymonkey.com/en/surveymonkey/analyze/missing-survey-responses/; https://help.surveymonkey.com/en/surveymonkey/send/allowing-multiple-responses/; https://help.surveymonkey.com/en/surveymonkey/send/answers-already-selected/; https://help.surveymonkey.com/en/getfeedback/insights/responses-explorer/; https://help.surveymonkey.com/en/surveymonkey/analyze/out-of-order-responses/; https://help.surveymonkey.com/en/surveymonkey/site/anywhere-faq/,Editing Survey Responses; Can a survey be saved and finished later?; Post Responses Automatically in Slack; How do I know my responses were recorded?; Missing Survey Responses; Allowing Multiple Responses; Why are answers already selected when I try to take a survey?; Responses Explorer; Responses Are Out of Order; SurveyMonkey Anywhere FAQs
limit one response per person,https://help.surveymonkey.com/en/surveymonkey/send/limiting-answer-choices/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/send/limiting-answer-choices/; https://help.surveymonkey.com/en/surveymonkey/send/allowing-multiple-responses/; https://help.surveymonkey.com/en/surveymonkey/billing/response-limits/; https://help.surveymonkey.com/en/wufoo/build/allow-once-ip/; https://help.surveymonkey.com/en/surveymonkey/create/limiting-answer-choices-2/; https://help.surveymonkey.com/en/surveymonkey/create/answering-multiple-times/; https://help.surveymonkey.com/en/surveymonkey/analyze/individual-responses/; https://help.surveymonkey.com/en/surveymonkey/analyze/response-ids/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/surveymonkey/manage/deleting-responses/,Limiting Responses to a Survey; Allowing Multiple Responses; Account Response Limits; Allowing Only One Entry Per IP Address; Can I limit the number of answer choices a respondent can select?; Can a respondent fill out the same question or page multiple times?; Viewing Individual Responses; Does each respondent get assigned a response ID?; Survey Takers Can’t Complete My Survey; Clearing or Deleting Responses
how do I track who filled out my survey,https://help.surveymonkey.com/en/surveymonkey/send/tracking-email-invitations/,True,9.0,https://help.surveymonkey.com/en/surveymonkey/send/tracking-respondents/; https://help.surveymonkey.com/en/surveymonkey/send/ip-tracking/; https://help.surveymonkey.com/en/surveymonkey/send/response-recording/; https://help.surveymonkey.com/en/surveymonkey/manage/finding-surveys/; https://help.surveymonkey.com/en/surveymonkey/analyze/missing-survey-responses/; https://help.surveymonkey.com/en/surveymonkey/manage/survey-summary/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/getfeedback/account/anonymous-feedback/; https://help.surveymonkey.com/en/surveymonkey/send/tracking-email-invitations/; https://help.surveymonkey.com/en/getfeedback/channels/send-to-a-list/,Tracking Respondents; IP Tracking; How do I know my responses were recorded?; Finding a Survey; Missing Survey Responses; Viewing Your Survey Summary; Survey Takers Can’t Complete My Survey; Getting Anonymous Feedback; Tracking Email Invitations; Email to a List
how do I share results with others,https://help.surveymonkey.com/en/surveymonkey/analyze/sharing-survey-results/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/analyze/sharing-survey-results/; https://help.surveymonkey.com/en/surveymonkey/analyze/shared-data-pages/; https://help.surveymonkey.com/en/getfeedback/account/sharing-surveys/; https://help.surveymonkey.com/en/surveymonkey/integrations/onedrive-integration/; https://help.surveymonkey.com/en/surveymonkey/analyze/commenting/; https://help.surveymonkey.com/en/surveymonkey/manage/sharing-surveys/; https://help.surveymonkey.com/en/surveymonkey/manage/merging-surveys/; https://help.surveymonkey.com/en/getfeedback/insights/email-reports-dashboards/; https://help.surveymonkey.com/en/surveymonkey/send/social-media-collector/; https://help.surveymonkey.com/en/surveymonkey/create/return-to-work/,Sharing Survey Results; Shared Data Pages; Sharing and Transferring Surveys; OneDrive Integration; Getting Feedback on Surveys and Results; Sharing Surveys with Others; Can I merge surveys or survey results?; Email Summary Reports and Dashboards; Share Your Survey on Social Media; Return to Work Solutions
can I score survey answers,https://help.surveymonkey.com/en/surveymonkey/create/survey-score/,True,4.0,https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/surveymonkey/analyze/assigning-numerical-values/; https://help.surveymonkey.com/en/surveymonkey/create/adding-rewards/; https://help.surveymonkey.com/en/surveymonkey/create/survey-score/; https://help.surveymonkey.com/en/surveymonkey/site/surveymonkey-app-faq/; https://help.surveymonkey.com/en/surveymonkey/create/limiting-answer-choices-2/; https://help.surveymonkey.com/en/surveymonkey/create/question-answer-piping/; https://help.surveymonkey.com/en/surveymonkey/create/bulk-answer-choices/; https://help.surveymonkey.com/en/surveymonkey/policy/collecting-sensitive-information/; https://help.surveymonkey.com/en/surveymonkey/site/anywhere-faq/,"Survey Takers Can’t Complete My Survey; Can I assign numerical values to answer choices?; Can I add a reward to my survey?; Scoring Your Survey; SurveyMonkey App FAQs; Can I limit the number of answer choices a respondent can select?; Question & Answer Piping; Adding Answer Choices in Bulk; Can I ask for credit card details, SSNs, or other personal information?; SurveyMonkey Anywhere FAQs"
can I password protect my survey,https://help.surveymonkey.com/en/surveymonkey/send/restricting-survey-access/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/send/restricting-survey-access/; https://help.surveymonkey.com/en/surveymonkey/send/respondent-logins/; https://help.surveymonkey.com/en/surveymonkey/policy/irb-guidelines/; https://help.surveymonkey.com/en/surveymonkey/policy/collecting-sensitive-information/; https://help.surveymonkey.com/en/surveymonkey/create/adding-rewards/; https://help.surveymonkey.com/en/surveymonkey/create/limiting-answer-choices-2/; https://help.surveymonkey.com/en/surveymonkey/analyze/shared-data-pages/; https://help.surveymonkey.com/en/surveymonkey/send/can-i-time-surveys/; https://help.surveymonkey.com/en/surveymonkey/create/required-questions/; https://help.surveymonkey.com/en/getfeedback/account/your-password/,"Restricting Survey Access by Password or IP Address; Can I create a unique login and password for each survey respondent?; SurveyMonkey and IRB Guidelines; Can I ask for credit card details, SSNs, or other personal information?; Can I add a reward to my survey?; Can I limit the number of answer choices a respondent can select?; Shared Data Pages; Can I time surveys?; Making Survey Questions Required; Resetting Your Password"
send reminder to people who didn’t complete survey,https://help.surveymonkey.com/en/surveymonkey/send/reminder-thank-you-emails/,False,,https://help.surveymonkey.com/en/getfeedback/salesforce/salesforce-reminder-emails/; https://help.surveymonkey.com/en/surveymonkey/integrations/salesforce-reminder-emails/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/surveymonkey/send/confirmation-email/; https://help.surveymonkey.com/en/surveymonkey/send/troubleshooting-email-invitations/; https://help.surveymonkey.com/en/surveymonkey/send/saving-surveys/; https://help.surveymonkey.com/en/surveymonkey/send/custom-thank-you/; https://help.surveymonkey.com/en/getfeedback/builder/turning-surveys-on-off/; https://help.surveymonkey.com/en/surveymonkey/send/email-invitation-collector/; https://help.surveymonkey.com/en/surveymonkey/analyze/missing-survey-responses/,Sending Reminder Emails from Salesforce; SurveyMonkey for Salesforce: Sending Reminder Emails; Survey Takers Can’t Complete My Survey; Sending Confirmation Emails; Troubleshooting Issues with an Email Invitation; Can a survey be saved and finished later?; Adding a Custom Thank You; Turning a Survey On or Off; Sending Surveys via Email Invitation; Missing Survey Responses
how do I customize the survey theme,https://help.surveymonkey.com/en/surveymonkey/create/themes/,True,2.0,https://help.surveymonkey.com/en/surveymonkey/teams/custom-css/; https://help.surveymonkey.com/en/surveymonkey/create/themes/; https://help.surveymonkey.com/en/surveymonkey/create/survey-branding/; https://help.surveymonkey.com/en/getfeedback/builder/email-theme/; https://help.surveymonkey.com/en/getfeedback/builder/web-theme/; https://help.surveymonkey.com/en/surveymonkey/create/survey-title/; https://help.surveymonkey.com/en/surveymonkey/send/custom-thank-you/; https://help.surveymonkey.com/en/surveymonkey/create/formatting-text/; https://help.surveymonkey.com/en/surveymonkey/create/surveymonkey-footer/; https://help.surveymonkey.com/en/surveymonkey/send/thumbnail-image-text/,Use CSS to Style Your Survey; Using Themes to Style Surveys; Branding Your Survey; Survey Theme: Email; Survey Theme: Website; Changing the Survey Title; Adding a Custom Thank You; Formatting Text; Changing the SurveyMonkey Footer; Thumbnail Image & Text
how do I set a deadline for my survey,https://help.surveymonkey.com/en/surveymonkey/send/cuttoff-date-time/,True,2.0,https://help.surveymonkey.com/en/apply/build/applicant-task-deadline/; https://help.surveymonkey.com/en/surveymonkey/send/cuttoff-date-time/; https://help.surveymonkey.com/en/getfeedback/builder/turning-surveys-on-off/; https://help.surveymonkey.com/en/surveymonkey/send/can-i-time-surveys/; https://help.surveymonkey.com/en/apply/build/stage-deadline/; https://help.surveymonkey.com/en/surveymonkey/send/saving-surveys/; https://help.surveymonkey.com/en/getfeedback/builder/your-survey-link/; https://help.surveymonkey.com/en/surveymonkey/solutions/audience-additional-settings/; https://help.surveymonkey.com/en/surveymonkey/create/date-time-question/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/,How to Set a Deadline on an Applicant Task; Setting a Cutoff Date & Time; Turning a Survey On or Off; Can I time surveys?; How to Set a Deadline on a Stage; Can a survey be saved and finished later?; Your Survey Link; SurveyMonkey Audience: Additional Targeting Settings; Date/Time Question; Survey Takers Can’t Complete My Survey
